,nombre,provincia,distrito,latitud,longitud
1157,CPNP SAN VICENTE,CAÑETE,san vicente de canete,-13.0784391,-76.38898298
1158,CPNP ASIA,CAÑETE,asia,-12.77907498,-76.55660734
1159,CPNP CALANGO,CAÑETE,calango,-12.52658165,-76.54374038
1160,CPNP CERRO AZUL,CAÑETE,cerro azul,-13.02483313,-76.47888866
1161,CPNP CHILCA,CAÑETE,chilca,-12.51787831,-76.73709551
1162,CPNP IMPERIAL,CAÑETE,imperial,-13.06149065,-76.35298822
1163,CPNP LUNAHUANA,CAÑETE,lunahuana,-12.96349427,-76.14024362
1164,CPNP YAUYOS,YAUYOS,yauyos,-12.45941379,-75.91894161
1165,CPNP MALA,CAÑETE,mala,-12.65745614,-76.63250477
1166,CPNP NUEVO IMPERIAL,CAÑETE,nuevo imperial,-13.0760427,-76.31960072
1167,CPNP PUEBLO NUEVO CONTA,CAÑETE,nuevo imperial,-13.01820524,-76.33930189
1168,CPNP PACARAN,CAÑETE,pacaran,-12.86605251,-76.05419852
1169,CPNP QUILMANA,CAÑETE,quilmana,-12.949532,-76.382488
1170,CPNP SAN ANTONIO,CAÑETE,san antonio,-12.64191081,-76.65071329
1171,CPNP CAPILLUCAS,YAUYOS,allauca,-12.707477,-75.969145
1172,CPNP SAN LUIS,CAÑETE,san luis,-13.05075142,-76.43042103
1173,CPNP HUANGASCAR,YAUYOS,huangascar,-12.89952071,-75.83241637
1174,CPNP ZUÑIGA,CAÑETE,zuniga,-12.86029554,-76.0224031
1175,CPNP CATAHUASI,YAUYOS,catahuasi,-12.7998929,-75.89156165
1176,CPNP SAN ANDRES,LIMA,lima,-12.05097458,-77.02351775
1177,CPNP COTABAMBAS,LIMA,lima,-12.05819812,-77.03422714
1178,CPNP ALFONSO UGARTE,LIMA,lima,-12.057295,-77.041423
1179,CPNP MONSERRATE,LIMA,lima,-12.04128801,-77.03920235
1180,CPNP PETIT THOUARS,LIMA,lima,-12.06880996,-77.03553837
1181,CPNP CONDE DE LA VEGA,LIMA,lima,-12.03840667,-77.053255
1182,CPNP UNIDAD VECINAL 3 B,LIMA,lima,-12.05140138,-77.0818641
1183,CPNP UNIDAD VECINAL MIRONES ALTO,LIMA,lima,-12.05120429,-77.06746387
1184,CPNP UNIDAD VECINAL MIRONES BAJO,LIMA,lima,-12.03661355,-77.07561594
1185,CPNP PALOMINO,LIMA,lima,-12.06010681,-77.07251405
1186,CPNP LA VICTORIA,LIMA,la victoria,-12.063003,-77.025787
1187,CPNP APOLO,LIMA,la victoria,-12.07138158,-77.00985548
1188,CPNP SAN COSME,LIMA,la victoria,-12.06447203,-77.00771981
1189,CPNP EL AGUSTINO,LIMA,el agustino,-12.04931883,-76.99766037
1190,CPNP SANTOYO,LIMA,el agustino,-12.05100189,-77.00874323
1191,CPNP SAN CAYETANO,LIMA,el agustino,-12.05675151,-77.00802869
1192,CPNP SAN PEDRO,LIMA,el agustino,-12.0598343,-77.00288169
1193,CPNP VILLA HERMOSA,LIMA,el agustino,-12.04136003,-76.98862576
1194,CPNP SAN LUIS,LIMA,san luis,-12.0732406,-76.99961492
1195,CPNP YERBATEROS,LIMA,san luis,-12.06465446,-76.9974254
1196,CPNP CHOSICA,LIMA,lurigancho,-11.93871425,-76.69674957
1197,CPNP CHACLACAYO,LIMA,chaclacayo,-11.97706158,-76.76559959
1198,CPNP RICARDO PALMA,HUAROCHIRI,ricardo palma,-11.92352428,-76.66473595
1199,CPNP SAN LORENZO DE QUINTI,HUAROCHIRI,san lorenzo de quinti,-12.14491453,-76.21272179
1200,CPNP MATUCANA,HUAROCHIRI,matucana,-11.84373982,-76.3858292
1201,CPNP CASAPALCA,HUAROCHIRI,chicla,-11.65242739,-76.2356819
1202,CPNP HUAROCHIRI,HUAROCHIRI,huarochiri,-12.13525437,-76.23456224
1203,CPNP SAN DAMIAN,HUAROCHIRI,san damian,-12.0171162,-76.39168042
1204,CPNP SAN MATEO,HUAROCHIRI,san mateo,-11.75932211,-76.29927697
1205,CPNP SANTA EULALIA,HUAROCHIRI,santa eulalia,-11.90102557,-76.66402933
1206,CPNP ZARATE,LIMA,sjl,-12.02701797,-77.00137199
1207,CPNP CAJA DE AGUA,LIMA,sjl,-12.0257495,-77.01566889
1208,CPNP HUAYRONA,LIMA,sjl,-11.99419966,-77.00694287
1209,CPNP SANTA ELIZABETH,LIMA,sjl,-11.98417601,-77.01541387
1210,CPNP CANTO REY,LIMA,sjl,-11.975538,-76.99587
1211,CPNP 10 DE OCTUBRE,LIMA,sjl,-11.94477041,-76.9884
1212,CPNP MARISCAL CACERES,LIMA,sjl,-11.94912868,-76.98107137
1213,CPNP BAYOVAR,LIMA,sjl,-11.9523082,-76.99164797
1214,CPNP JICAMARCA,LIMA,lurigancho,-11.98092243,-76.94387302
1215,CPNP HUACHIPA,LIMA,lurigancho,-12.01460396,-76.93746973
1216,CPNP SAN ANTONIO DE JICAMARCA,LIMA,sjl,-11.925687,-76.961623
1217,CPNP SANTA ANITA,LIMA,santa anita,-12.04480111,-76.97670807
1218,CPNP VITARTE,LIMA,ate,-12.02603843,-76.91956512
1219,CPNP SANTA CLARA,LIMA,ate,-12.01686528,-76.88429241
1220,CPNP HUAYCAN,LIMA,ate,-12.01234598,-76.82721294
1221,CPNP SALAMANCA,LIMA,ate,-12.07557927,-76.98894095
1222,CPNP LA MOLINA,LIMA,la molina,-12.07730338,-76.91649741
1223,CPNP SANTA FELICIA,LIMA,la molina,-12.07226816,-76.95531367
1224,CPNP LAS PRADERAS,LIMA,la molina,-12.11458673,-76.93704836
1225,CPNP CIENEGUILLA,LIMA,cieneguilla,-12.115782,-76.81287
1226,CPNP MANCHAY,LIMA,pachacamac,-12.11603,-76.870088
1227,CPNP HUACHO,HUAURA,huacho,-11.10990095,-77.60758674
1228,CPNP HUAURA,HUAURA,huaura,-11.06821603,-77.59911593
1229,CPNP AMBAR,HUAURA,ambar,-10.75673483,-77.27217148
1230,CPNP SAYAN,HUAURA,sayan,-11.1349415,-77.19260143
1231,CPNP SANTA ROSA,HUAURA,sayan,-11.235912,-77.381072
1232,CPNP VEGUETA,HUAURA,vegueta,-11.02333927,-77.64381885
1233,CPNP GORGOR,CAJATAMBO,gorgor,-10.62066649,-77.04151217
1234,CPNP CRUZ BLANCA,HUAURA,hualmay,-11.09766532,-77.59569859
1235,CPNP BARRANCA,BARRANCA,barranca,-10.75077628,-77.76507404
1236,CPNP PARAMONGA,BARRANCA,paramonga,-10.67351758,-77.81921265
1237,CPNP PATIVILCA,BARRANCA,pativilca,-10.69730044,-77.78017221
1238,CPNP SUPE PUEBLO,BARRANCA,supe,-10.79608453,-77.71521644
1239,CPNP SUPE PUERTO,BARRANCA,supe puerto,-10.79699134,-77.74166508
1240,CPNP OYON,OYON,oyon,-10.6695791,-76.76979605
1241,CPNP CHURIN,OYON,pachangara,-10.81120809,-76.8749929
1242,CPNP UCHUCCHACUA,OYON,oyon,-10.634812,-76.689102
1243,CPNP HUARAL,HUARAL,huaral,-11.49473616,-77.2071146
1244,CPNP AUCALLAMA,HUARAL,aucallama,-11.558638,-77.17926345
1245,CPNP CHANCAY,HUARAL,chancay,-11.562495,-77.269188
1246,CPNP DE PRO,LIMA,los olivos,-11.93449439,-77.07755751
1247,CPNP LAURA CALLER,LIMA,los olivos,-11.97069793,-77.07806262
1248,CPNP SOL DE ORO,LIMA,los olivos,-11.99761419,-77.06390802
1249,CPNP PUENTE PIEDRA,LIMA,puente piedra,-11.8660332,-77.07767123
1250,CPNP LA ENSENADA,LIMA,puente piedra,-11.935893,-77.094277
1251,CPNP ZAPALLAL,LIMA,puente piedra,-11.82773064,-77.11760296
1252,CPNP CARABAYLLO,LIMA,carabayllo,-11.85399005,-77.03802779
1253,CPNP SANTA ISABEL,LIMA,carabayllo,-11.90163842,-77.03236349
1254,CPNP EL PROGRESO,LIMA,carabayllo,-11.87452233,-77.01590523
1255,CPNP SANTA ROSA,LIMA,santa rosa,-11.79661039,-77.17096732
1256,CPNP ANCON,LIMA,ancon,-11.77603959,-77.1692574
1257,CPNP INDEPENDENCIA,LIMA,independencia,-11.996222,-77.054767
1258,CPNP LA UNIFICADA,LIMA,rimac,-12.0138325,-77.04922217
1259,CPNP PAYET,LIMA,independencia,-11.97199902,-77.04362776
1260,CPNP TAHUANTINSUYO,LIMA,independencia,-11.98045559,-77.04887443
1261,CPNP TUPAC AMARU,LIMA,comas,-11.95528863,-77.0525028
1262,CPNP COLLIQUE,LIMA,comas,-11.9129026,-77.01633608
1263,CPNP LA PASCANA,LIMA,comas,-11.935053,-77.045882
1264,CPNP SANTA LUZMILA,LIMA,comas,-11.94440517,-77.06649677
1265,CPNP UNIVERSITARIA,LIMA,comas,-11.94739082,-77.06015053
1266,CPNP CANTA,CANTA,canta,-11.46912573,-76.62422879
1267,CPNP YANGAS,CANTA,santa rosa de quives,-11.69488659,-76.84566417
1268,CPNP CIUDAD Y CAMPO,LIMA,rimac,-12.02433757,-77.02812481
1269,CPNP FLOR DE AMANCAES,LIMA,rimac,-12.01014637,-77.03340614
1270,CPNP PIEDRA LIZA,LIMA,rimac,-12.03973854,-77.01766903
1271,CPNP EL MANZANO,LIMA,rimac,-12.02829817,-77.03012257
1272,CPNP EL RIMAC,LIMA,rimac,-12.03971182,-77.02809137
1273,CPNP SAN MARTIN DE PORRAS,LIMA,smp,-12.02570548,-77.05568808
1274,CPNP CONDEVILLA,LIMA,smp,-12.02053845,-77.08558043
1275,CPNP BARBONCITOS,LIMA,smp,-12.03078692,-77.07000165
1276,CPNP CHACRA COLORADA,LIMA,brena,-12.05419228,-77.05107781
1277,CPNP BREÑA,LIMA,brena,-12.06736168,-77.05304721
1278,CPNP JESUS MARIA,LIMA,jesus maria,-12.07114607,-77.04753564
1279,CPNP PUEBLO LIBRE,LIMA,pueblo libre,-12.07708639,-77.06524187
1280,CPNP SAN MIGUEL,LIMA,san miguel,-12.08955592,-77.08782562
1281,CPNP MARANGA,LIMA,san miguel,-12.06987954,-77.09254625
1282,CPNP MAGDALENA,LIMA,magdalena del mar,-12.08805984,-77.07327657
1283,CPNP ORRANTIA DEL MAR,LIMA,san isidro,-12.10446403,-77.05704576
1284,CPNP SURQUILLO,LIMA,surquillo,-12.11873841,-77.02235588
1285,CPNP SAN BORJA,LIMA,san borja,-12.10570697,-76.99905404
1286,CPNP CHACARILLA,LIMA,san borja,-12.10847195,-76.98354323
1287,CPNP SURCO,LIMA,santiago de surco,-12.14522885,-77.00294502
1288,CPNP MONTERRICO,LIMA,santiago de surco,-12.094745,-76.973352
1289,CPNP LINCE,LIMA,lince,-12.08351269,-77.02715234
1290,CPNP SAGITARIO,LIMA,santiago de surco,-12.16500053,-76.99694235
1291,CPNP MIRAFLORES,LIMA,miraflores,-12.11454767,-77.02815585
1292,CPNP SAN ISIDRO,LIMA,san isidro,-12.09486137,-77.0323633
1293,CPNP SAN ANTONIO,LIMA,miraflores,-12.11488523,-77.0107812
1294,CPNP BARRANCO,LIMA,barranco,-12.14658635,-77.02231204
1295,CPNP CHORRILLOS,LIMA,chorrillos,-12.17025615,-77.02320216
1296,CPNP VILLA,LIMA,chorrillos,-12.18580597,-77.00795844
1297,CPNP MATEO PUMACAHUA,LIMA,chorrillos,-12.19189428,-76.98013832
1298,CPNP LADERAS DE VILLA,LIMA,sjm,-12.19056274,-76.95763854
1299,CPNP SAN JUAN DE MIRAFLORES,LIMA,sjm,-12.15802944,-76.9751705
1300,CPNP PAMPLONA I,LIMA,sjm,-12.14795514,-76.96599107
1301,CPNP PAMPLONA II,LIMA,sjm,-12.13108023,-76.95801514
1302,CPNP SAN GENARO,LIMA,chorrillos,-12.19443849,-77.02054826
1303,CPNP VILLA EL SALVADOR,LIMA,ves,-12.213058,-76.937857
1304,CPNP URB PACHACAMAC,LIMA,ves,-12.23017502,-76.92321897
1305,CPNP VILLA MARIA DEL TRIUNFO,LIMA,vmt,-12.1660876,-76.94759
1306,CPNP JC MARIATEGUI,LIMA,vmt,-12.14965388,-76.95038032
1307,CPNP JOSE GALVEZ,LIMA,vmt,-12.20766232,-76.90644853
1308,CPNP NUEVA ESPERANZA,LIMA,vmt,-12.16651904,-76.92062676
1309,CPNP SF TABLADA LURIN,LIMA,vmt,-12.20000096,-76.92815728
1310,CPNP DISTRITO PACHACAMAC,LIMA,pachacamac,-12.22788531,-76.85840222
1311,CPNP LURIN,LIMA,lurin,-12.27352953,-76.86920704
1312,CPNP PUNTA HERMOSA,LIMA,punta hermosa,-12.31224383,-76.83720326
1313,CPNP VILLA ALEJANDRO,LIMA,vmt,-12.23393049,-76.9075196
1314,CPNP PUNTA NEGRA,LIMA,punta negra,-12.36411052,-76.79564456
1315,CPNP SAN BARTOLO,LIMA,san bartolo,-12.38765815,-76.77745406
1316,CPNP STA MARIA DEL MAR,LIMA,santa maria del mar,-12.39979895,-76.7729812
1317,CPNP PUCUSANA,LIMA,pucusana,-12.48262926,-76.79641867
